Наименование,"Выручка, ₽",ИНН
"ООО ""СКАНИЯ - РУСЬ""",74 млрд,5032073106
"АО ""ТРЕЖЕРИ ИНВЕСТ""",74 млрд,7730258615
"АО ""АРКОНИК СМЗ""",73 млрд,6310000160
"АО ""ВО ""ПРОМСЫРЬЕИМПОРТ""",73 млрд,9704027750
"АО ""ЧЭМК""",72 млрд,7447010227
"ООО ""ГАЗПРОМНЕФТЬ-БМ""",72 млрд,6234000600
"ОАО ""КРАСЦВЕТМЕТ""",72 млрд,2451000818
"ООО ""ТУЛАЧЕРМЕТ-СТАЛЬ""",72 млрд,7105519283
"ООО ""СЕВЕРНЫЙ ВЕТЕР""",72 млрд,7733646084
"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА",72 млрд,2328000083
"ООО ""А ГРУПП""",72 млрд,7717625418
"ООО ""ЭЙЧ ЭНД ЭМ""",72 млрд,7705840940
"АО ""МОНДИ СЛПК""",71 млрд,1121003135
"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""",71 млрд,3448017919
"АО ""МЕТАЛЛОТОРГ""",71 млрд,7118018781
"ООО ТОРГОВЫЙ ДОМ ""БАШХИМ""",71 млрд,268069694
"АО ""ФГК""",71 млрд,6659209750
"ООО ""РУЛОГ""",70 млрд,7732121398
"ООО ""КАРИ""",70 млрд,7702764909
"ООО ТД ""УРАЛХИМ""",70 млрд,5903091456
"АО ""СТЗ""",70 млрд,6626002291
"ООО ""ИНТЕРНЭШНЛ ТОБАККО ГРУПП""",70 млрд,7710302785
"ООО ""ВИТЕРРА РУС""",70 млрд,7708525142
"ООО ИК ""АЙТРАСТ ФИНАНС""",70 млрд,7743336155
"АО ""КУЗБАССЭНЕРГО""",70 млрд,4200000333
"ООО ""САМСУНГ ЭЛЕКТРОНИКС РУС КАЛУГА""",70 млрд,4025413896
"ООО ""ПМБК""",69 млрд,7729607406
"АО(Н) ""ВОЛЬВО ВОСТОК""",69 млрд,5032048798
"АО ""АВТОДОМ""",69 млрд,7714709349
"ООО""КСК""",69 млрд,7708262180
"АО ""КЦ""",69 млрд,4813007240
"ООО ""СЛАДКОВСКО-ЗАРЕЧНОЕ""",68 млрд,5611037405
"ООО ""ФАРМКОМПЛЕКТ""",68 млрд,5262036363
"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""",68 млрд,6607000556
"ООО ""АВИАКОМПАНИЯ ""ПОБЕДА""",68 млрд,9705001313
"ОАО ""ФАРМСТАНДАРТ-УФАВИТА""",68 млрд,274036993
"ООО ""ГОЛД СТРИМ""",67 млрд,7707625384
"АО ""РОССЕТИ ТЮМЕНЬ""",67 млрд,8602060185
"АО ""МОСВОДОКАНАЛ""",67 млрд,7701984274
"АО ""ПОЛЮС МАГАДАН""",67 млрд,4906000960
"ООО ""ФИНТОРГ""",67 млрд,1656059056
"ООО ""МОН'ДЭЛИС РУСЬ""",67 млрд,3321020710
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ САМАРА""",66 млрд,6310000026
"АО ""ОФ ""РАСПАДСКАЯ""",66 млрд,4214018690
"ООО ""МЭЗ ЮГ РУСИ""",66 млрд,6167055777
"ООО ""ГАЗПРОМТРАНС""",66 млрд,7728262893
"АО ""ГАЗПРОМ ЮРГМ ТРЕЙДИНГ""",66 млрд,8912002521
"ООО ""Ф.О.Н.""",66 млрд,9715010229
"ООО ""ТОРГОВЫЙ ДОМ ""НЕФТЕМАРКЕТ""",66 млрд,5610230614
"ПАО ""ТНС ЭНЕРГО КУБАНЬ""",66 млрд,2308119595
"ООО ""УМК-СТАЛЬ""",66 млрд,6606021264
"ООО ""НОВАТЭК- ЧЕЛЯБИНСК""",66 млрд,7404056114
"ООО ""ТРЕОЛАН""",65 млрд,7736313319
"ООО ""МОДУМ-ТРАНС""",65 млрд,6623074298
"КАО ""АЗОТ""",65 млрд,4205000908
"АО ""ОТЛК ЕРА""",65 млрд,9701104646
"ПАО ""РОССЕТИ ВОЛГА""",65 млрд,6450925977
"АО ""ГК ""ЕКС""",65 млрд,5012000639
"АО ""РУСАЛ УРАЛ""",65 млрд,6612005052
"ООО ""КАМЕЛОТ-А""",65 млрд,7017187800
"АО ""Л'ОРЕАЛЬ""",64 млрд,7726059896
"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",64 млрд,7727290538
АО «РОСЖЕЛДОРПРОЕКТ»,64 млрд,7708587910
"ООО ""ФИТ""",64 млрд,7710293280
"ООО ""ВАТАГА""",64 млрд,9715351885
"ООО ""БАШНЕФТЬ - ПОЛЮС""",63 млрд,2983998001
"ООО ""ПРОДИМЕКС""",63 млрд,7730710905
"ООО ""ГАЗПРОМ НЕДРА""",63 млрд,7709769582
"ООО ""ЛУКОЙЛ-МАРИНБУНКЕР""",63 млрд,9705083098
"ООО ""ХКА""",63 млрд,6658388288
"ООО ""ГСП-2""",63 млрд,7810443268
"АО ""УРАЛЭЛЕКТРОМЕДЬ""",63 млрд,6606003385
"ООО ""БРЛ""",62 млрд,5003116490
"ООО ""ГАЗПРОМ ТРАНСГАЗ КРАСНОДАР""",62 млрд,2308128945
"ПАО ""КВАДРА""",62 млрд,6829012680
"ООО ""СТРОЙСИЛА""",62 млрд,7838432756
"АО ""ЧЕРИ АВТОМОБИЛИ РУС""",62 млрд,7743578549
"ООО ""МАЗДА МОТОР РУС""",62 млрд,7743580770
"ООО ""АЛЬФАМОБИЛЬ""",62 млрд,7702390587
"ЗАО ""СК КОРОЧА""",61 млрд,3110009570
"ООО ""КОМПАНИЯ СИМ-АВТО""",61 млрд,7729588182
"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""",61 млрд,5250043567
"ЗАО ""СОДРУЖЕСТВО-СОЯ""",61 млрд,3913009739
"ООО ""РЕСТОР""",61 млрд,7709678550
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ УФА""",61 млрд,276046524
"ПАО ""РОССЕТИ СИБИРЬ""",61 млрд,2460069527
"ООО ""ТД ""КАМА""",61 млрд,1651024807
"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""",60 млрд,5920000593
"ООО ""НЛМК - КАЛУГА""",60 млрд,4003033040
"ООО ""ГАЗПРОМНЕФТЬ МАРИН БУНКЕР""",60 млрд,7838392447
"АО ""КОНЦЕРН ТИТАН-2""",60 млрд,7827004484
"ООО ""СЛАДКАЯ ЖИЗНЬ ПЛЮС""",60 млрд,5258054000
"АО ""МЗ БАЛАКОВО""",60 млрд,6439067450
"ООО ""БАСФ""",59 млрд,7706800837
"ООО ""ТРЕЙД-СЕРВИС""",59 млрд,3328434156
"ООО ""КУБ А""",59 млрд,278961871
"ООО ""ФЬЮЕЛ МЕНЕДЖМЕНТ АЗС""",59 млрд,7716804380
"АО ""БСК""",59 млрд,268008010
"АО ""СГМК""",59 млрд,4217204769
"ООО ""ХАВЕЙЛ МОТОР РУС""",59 млрд,7729763331
"АО ""ФАРМПЕРСПЕКТИВА""",59 млрд,4028069779
"ООО ""СУР""",58 млрд,7706277053
"ООО ""ОБЪЕДИНЕННЫЕ КОНДИТЕРЫ""",58 млрд,7705475711
"ООО ""СЭТЛ СТРОЙ""",58 млрд,7810489897
"ООО ""ТС КОМАНДОР""",58 млрд,2465008567
"ФГУП ""ГУСС""",58 млрд,2315078029
"АО ""ЦЕНТРАЛЬНАЯ ППК""",58 млрд,7705705370
"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""",58 млрд,5260080007
"ПАО ""РОССЕТИ КУБАНЬ""",58 млрд,2309001660
"ООО ""ВК""",58 млрд,7743001840
"ООО ""ПЕТРО""",57 млрд,7834005168
"ООО ""СНАБСЕРВИС""",57 млрд,2315984295
"ООО ""СТАВРОЛЕН""",57 млрд,2624022320
"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""",57 млрд,5501041254
"АО ""ЗАРА СНГ""",57 млрд,7707099460
"АО ""МЕГАФОН РИТЕЙЛ""",57 млрд,7825695758
"ООО ""ЛУКОЙЛ-ЭНЕРГОСЕРВИС""",57 млрд,5030040730
"ООО ""МЕТИНВЕСТ ЕВРАЗИЯ""",57 млрд,7731585968
"ООО ""НОКИАН ШИНА""",57 млрд,7816162305
"ООО ""МТ РУССИЯ""",57 млрд,7701716677
"АО ""АВТОТОР""",57 млрд,3905011678
"ООО""БЕЛУГА МАРКЕТ""",57 млрд,7727251521
"ООО ""ННК-СЕВЕРНАЯ НЕФТЬ""",57 млрд,1106019518
"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""",57 млрд,5905099475
"ООО ""МЕДВЕЖИЙ РУЧЕЙ""",56 млрд,2457080792
"ОАО ""ТВЗ""",56 млрд,6902008908
"ООО ""ННК-ОРЕНБУРГНЕФТЕГАЗ""",56 млрд,5603048611
"ООО ""ГАЗПРОМНЕФТЬ -СМ""",56 млрд,7728640182
"ООО ""ЛУЧ""",56 млрд,7203485554
"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""",56 млрд,6317024749
"ПАО ""ТНС ЭНЕРГО РОСТОВ-НА-ДОНУ""",56 млрд,6168002922
"АО ""МСУ-1""",56 млрд,7745000111
"ООО ""ВСЕИНСТРУМЕНТЫ.РУ""",56 млрд,7722753969
"АО ""ТАГМЕТ""",56 млрд,6154011797
"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""",56 млрд,8609000160
"ООО ""БГК""",56 млрд,277077282
"ООО ""АДИДАС""",56 млрд,7714037390
"ООО ""ММС РУС""",56 млрд,7715397999
"ООО ""НОВАТЭК МОСКОВСКАЯ ОБЛАСТЬ""",56 млрд,7729728577
"ООО ""ТД СТМ""",55 млрд,6685034633
"ООО ""РУСФИНАНС""",55 млрд,7701300598
"ООО ""ХАВЕЙЛ МОТОР МАНУФЭКЧУРИНГ РУС""",55 млрд,7104525439
"ООО ""ДЕЛЛ""",55 млрд,7704648707
"АО ТД ""НМЖК""",55 млрд,5259012482
"ПАО ""ОНГГ""",55 млрд,8602016394
"ООО ""ГАЗПРОМ ПХГ""",55 млрд,5003065767
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ КРАСНОДАР""",55 млрд,2308070396
"АО ""ТРАНСНЕФТЬ-ВЕРХНЯЯ ВОЛГА""",55 млрд,5260900725
"ООО ""ДНС ЛОДЖИСТИК""",55 млрд,2543085787
"АО ""ЭФКО""",55 млрд,3122000300
"АО ""КОРДИАНТ""",54 млрд,7601001509
"ООО ""СОКАР РУС""",54 млрд,7707803527
"ООО ""МСМР""",54 млрд,7743816842
"АО ""МЕТРОВАГОНМАШ"",АО МВМ",54 млрд,5029006702
"АО ""ЧГГК""",54 млрд,8709009294
"АО ""ТРАНСНЕФТЬ - УРАЛ""",53 млрд,278039018
"ООО ""УК""АЛОР ЭМ""",53 млрд,7708716740
"ООО ""РЕНЕЙССАНС ХЭВИ ИНДАСТРИС""",53 млрд,7802772445
"АО ""ГСЛ""",53 млрд,7728795958
"АО ""СИНТЗ""",53 млрд,6612000551
"ПАО ""НПО ""АЛМАЗ""",53 млрд,7712040285
"ООО ""ГАЗПРОМ ИНВЕСТ""",53 млрд,7810483334
"ООО ""РЕ ТРЭЙДИНГ""",53 млрд,7725776121
"ООО ""А.П.Р.""",53 млрд,7721844807
"МКООО ""ОГМЕНТ ИНВЕСТМЕНТС ЛИМИТЕД""",53 млрд,3906393081
"АО ""ТД ""БЕЛАЗ""",52 млрд,7714724594
"АО ""БОАЗ""",52 млрд,2465102746
"ООО ""ГАЗПРОМ ТРАНСГАЗ МОСКВА""",52 млрд,5003028028
"АО ""ТАЛТЭК""",52 млрд,4223055709
"ПАО ""ОДК-САТУРН""",52 млрд,7610052644
"ООО ""ЛИБХЕРР-РУСЛАНД""",52 млрд,7704217309
"ООО ""КФ ""ДАКС""",52 млрд,5027209400
"ООО ""ИСО""",52 млрд,7730248021
"ООО ""ЛСР. НЕДВИЖИМОСТЬ-СЗ""",52 млрд,7826090547
"АО ""КОРПОРАЦИЯ ""ГЛОРИЯ ДЖИНС""",52 млрд,6166034397
"ООО ""ВАРНА""",52 млрд,2709011824
"АО ""СОФТЛАЙН ТРЕЙД""",52 млрд,7736227885
"АО ""ТРЕСТ КХМ""",52 млрд,7705098679
"ООО ""ЕВРОХИМ - УКК""",52 млрд,5911066005
"ООО ""КОРОЛЕВСКИЙ ТРУБНЫЙ ЗАВОД""",51 млрд,5038114542
"АО ""САНОФИ РОССИЯ""",51 млрд,7705018169
"ООО ""ПИЩЕВЫЕ ИНГРЕДИЕНТЫ""",51 млрд,2352038521
"ООО ""УРАЛЭНЕРГОСБЫТ""",51 млрд,7453313477
"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""",51 млрд,7019035722
"ООО ""СТАВРОПОЛЬСКИЙ БРОЙЛЕР""",51 млрд,2623030222
"ООО ""КРОНОШПАН""",51 млрд,5011021227
"АО ""ЛГСС""",51 млрд,7806027191
"АО ""УК ""БМЗ""",51 млрд,3232035432
"ООО ""ЕВРОХИМ ТРЕЙДИНГ РУС""",51 млрд,7725291543
"ООО ""НЕВАДА-ВОСТОК""",50 млрд,2720030404
"ООО ""ИСТ-ВЕСТ ЛОДЖИСТИКС""",50 млрд,7734691410
"ООО ""ОСТИН""",50 млрд,7728551510
"ООО ""БСХ БЫТОВЫЕ ПРИБОРЫ""",50 млрд,7819301797
"ООО ""АТАК""",50 млрд,7743543232
"ПАО ""ТНС ЭНЕРГО НН""",50 млрд,5260148520
"ООО ""МИП-СТРОЙ № 1""",50 млрд,7701394860
"ООО ""БУРГЕР РУС""",49 млрд,7719723690
"ООО ""МЕЧЕЛ-КОКС""",49 млрд,7450043423
"АО ""МЕЧЕЛ-МАЙНИНГ""",49 млрд,5406437129
"ООО ""ПИК-ИНВЕСТПРОЕКТ""",49 млрд,7703421301
АО «УПАКОВОЧНЫЕ СИСТЕМЫ»,49 млрд,7706017070
"ООО ""МЕТАЛЛСЕРВИС-МОСКВА""",49 млрд,7721562305
"НПАО ""СИЛЬВАМО КОРПОРЕЙШН РУС""",49 млрд,4704012472
"АО ""ЦПЛ""",49 млрд,7702770003
"ООО ""СТАРТТЕХ""",49 млрд,7743911253
"ООО ""КОМПАНИЯ ПОЛЯРНОЕ СИЯНИЕ""",49 млрд,8300120014
"ООО ""БРЯНСКАЯ МЯСНАЯ КОМПАНИЯ""",49 млрд,3252005997
"АО ""ЕВРОТРАНС""",49 млрд,5029169023
"ООО ""СТРОЙТРАНСГАЗ ТРУБОПРОВОДСТРОЙ""",49 млрд,7703813034
"ООО ""ПКФ ДИПОС""",49 млрд,7726044240
"ООО ""БКЕ""",49 млрд,8608049090
"АО ""РУССКИЙ УГОЛЬ""",49 млрд,7705880068
"ПАО ""АВИАКОМПАНИЯ ""ЮТЭЙР""",49 млрд,7204002873
"ООО ""БОРИСХОФ 1""",49 млрд,7713628217
"ООО ""МОРСКОЙ ТЕРМИНАЛ ""ТАМАНЬ""",49 млрд,2352044518
"АО ""ТРАНСНЕФТЬ - ПРИКАМЬЕ""",49 млрд,1645000340
"ООО ""КУПИШУЗ""",49 млрд,7705935687
"АО ""НИЖФАРМ""",48 млрд,5260900010
"АО ""ЩЕКИНОАЗОТ""",48 млрд,7118004789
"АО ""ТАТЭНЕРГО""",48 млрд,1657036630
"АО ""ЖЕЛДОРРЕММАШ""",48 млрд,7715729877
"АО ""ОМПК""",48 млрд,7715034360
"АО ""НОВОСИБИРСКЭНЕРГОСБЫТ""",48 млрд,5407025576
"ООО ""РУСВИНИЛ""",48 млрд,5262218620
"ООО ""ТРАНСЛОМ""",48 млрд,4345217731
"ООО ""АПК АСТ КОМПАНИ М""",48 млрд,7721147115
"ООО ""ПСМА РУС""",48 млрд,4027091179
"АО ""МОСОБЛГАЗ""",48 млрд,5032292612
"АО ""ТВСЗ""",48 млрд,4715019631
"ООО ""ПЕТРОЛЕУМ ТРЕЙДИНГ""",48 млрд,7736655834
"АО ""ЭР-ТЕЛЕКОМ ХОЛДИНГ""",48 млрд,5902202276
"ООО ""РОБЕРТ БОШ""",48 млрд,7706092944
"АО ""НМЖК""",48 млрд,5257003806
"АО ""ЦС ""ЗВЕЗДОЧКА""",48 млрд,2902060361
"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК",48 млрд,2903000446
"ЗАО ""ФЕРРЕРО РУССИЯ""",47 млрд,5044018861
"ООО ""СЛАВНЕФТЬ-НИЖНЕВАРТОВСК""",47 млрд,8620012762
"ООО ""РЕСУРС""",47 млрд,4205160147
"АО ""ГАЗПРОМ ЮРГМ ДЕВЕЛОПМЕНТ""",47 млрд,8901023181
"АО ""ГОЗНАК""",47 млрд,7813252159
"ООО ""ТМК МЕТА""",47 млрд,7804328002
АО «ОТИСИФАРМ»,47 млрд,5047149534
"АО ""НМГ""",47 млрд,7704676655
"ООО ""ЯГУАР ЛЕНД РОВЕР""",47 млрд,5047095543
"ООО ""КОНСОНАНС""",47 млрд,7716656967
"ООО ""БРЯНСКАГРОСТРОЙ""",47 млрд,3250521869
"ООО ""ТД ""ТУЛА-СТАЛЬ""",47 млрд,7725495000
ООО ТД НМ,47 млрд,7722582752
"ПАО ""ЭНЕЛ РОССИЯ""",47 млрд,6671156423
"ООО ""ЭББОТТ ЛЭБОРАТОРИЗ""",47 млрд,7725594604
"ООО ""ПОРШЕ РУССЛАНД""",47 млрд,7703374404
"ООО ""УПРАВЛЕНИЕ АКТИВАМИ""",46 млрд,1655061006
"АО ""ФАРМИМЭКС""",46 млрд,7710106212
"ООО ПРЕДПРИЯТИЕ ""АЛИДИ""",46 млрд,5245000448
"АО ""ПРИОСКОЛЬЕ""",46 млрд,3123100360
"АО ""ТРАНСНЕФТЬ-ЗАПАДНАЯ СИБИРЬ""",46 млрд,5502020634
"ООО ""УАЗ""",46 млрд,7327077188
"ООО ""МОРТРАНССЕРВИС""",46 млрд,7707847556
"ПАО ""РОССЕТИ СЕВЕРО-ЗАПАД""",46 млрд,7802312751
"ООО ""ПГ""ФОСФОРИТ""",46 млрд,4707017905
"ООО ""ЭСКБ""",46 млрд,275038496
"ГУП ""ПЕТЕРБУРГСКИЙ МЕТРОПОЛИТЕН""",46 млрд,7830000970
"АО ""РНГ""",46 млрд,7703508520
"ООО ""МЕРИДИАН""",46 млрд,7817079995
"ООО ""БЕТРИНГ""",46 млрд,7202197786
"ООО ""ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК""",46 млрд,2724132118
"ООО ""ГАЗПРОМНЕФТЬ-ВОСТОК""",45 млрд,7017126251
"ООО ""АМКАПИТАЛ""",45 млрд,7708607959
"ООО ""ПРОКТЕР ЭНД ГЭМБЛ-НОВОМОСКОВСК""",45 млрд,7101006354
"ООО ""АНТТЕК""",45 млрд,7701380579
"МК ""АКТИВИУМ""",45 млрд,3906386373
"АО ""ЗАРУБЕЖНЕФТЬ""",45 млрд,7701350084
"ООО ""ТРАНСНЕФТЬ - БАЛТИКА""",45 млрд,4704041900
"ООО ""АЗУР ЭЙР""",45 млрд,2459007621
"ООО ""РАЗРЕЗ КИЙЗАССКИЙ""",45 млрд,4214033674
"ПАО ""ЛК ""ЕВРОПЛАН""",45 млрд,9705101614
"АО ""ЧМПЗ""",45 млрд,7718013714
"ООО ""АЛЬФА РЯЗАНЬ""",45 млрд,6234131659
"АО ""ПИК-ИНДУСТРИЯ""",45 млрд,7729755852
"ООО ""РАЗРЕЗ ""БЕРЕЗОВСКИЙ""",44 млрд,4223035452
"ПАО ""ГАЙСКИЙ ГОК""",44 млрд,5604000700
"ООО ""НОВЫЙ АЙ ТИ ПРОЕКТ""",44 млрд,7724338125
"ОАО ""СЕВЕРНЕФТЕГАЗПРОМ""",44 млрд,8912001990
"ООО ""РОЛЬФ МОТОРС""",44 млрд,7715586594
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ РОСТОВ-НА-ДОНУ""",44 млрд,6167049710
"АО ""КРОКУС""",44 млрд,7728115183
"ООО ""ЛУКОЙЛ-АИК""",44 млрд,8608059605
"ООО""ГРУППА ПОЛИПЛАСТИК""",44 млрд,5021013384
"ООО ""РЭЙЛАЛЬЯНС""",44 млрд,7705492690
"ООО ""АГРОПОСТАВКА МТ""",44 млрд,3121181131
"ООО ""ЛУКОЙЛ-ТРАНС""",44 млрд,7725642022
"АО ""ШНЕЙДЕР ЭЛЕКТРИК""",44 млрд,7712092928
"ООО ""ДОМАШНИЙ ИНТЕРЬЕР""",44 млрд,7709770002
"ПАО ""ЮЖНЫЙ КУЗБАСС""",44 млрд,4214000608
"ЖСК ""БЕРЕЗОВАЯ РОЩА""",44 млрд,5507193870
"ЗАО ТФД ""БРОК-ИНВЕСТ-СЕРВИС И К""",43 млрд,7703068485
"АО ""ТРАНСНЕФТЬ - ДРУЖБА""",43 млрд,3235002178
"АО ""УРГАЛУГОЛЬ""",43 млрд,2710001186
"АО ""НПК""",43 млрд,7705503750
"ООО ""ВОСТОЧНАЯ ТЕХНИКА""",43 млрд,5404151283
"ПАО ""ДОРОГОБУЖ""",43 млрд,6704000505
"ПАО ""ТГК-2""",43 млрд,7606053324
"ФГУП ""ГВСУ ПО СПЕЦИАЛЬНЫМ ОБЪЕКТАМ""",43 млрд,7734003657
"АО ""СОЦИУМ ТРЕЙД""",43 млрд,7743324713
"ОАО ""УМИТАТ""",43 млрд,7734021590
"ООО ""КЕХ ЕКОММЕРЦ""",43 млрд,7710668349
"ООО ""ЛОГИСТИК-ЦЕНТР""",43 млрд,2457072569
"АО ""МРТС""",43 млрд,7706241963
"ООО ""ГАЗПРОМНЕФТЬ - ЦЕНТР""",42 млрд,7709359770
"ООО ""ВТОРМЕТ-ТРЕЙД""",42 млрд,4217184512
"ООО ""ОСК 1520""",42 млрд,7701753020
"ООО ""ЭЙЧПИ ИНК""",42 млрд,7743101210
"ООО ""АЛКОТОРГ""",42 млрд,1659091192
"АО ""КМЭЗ""",42 млрд,7413000630
"АО ""ОЛКОН""",42 млрд,5108300030
"АО ""ЖИРОВОЙ КОМБИНАТ""",42 млрд,6664014643
"АО ""ЕВРОСИБЭНЕРГО""",42 млрд,7706697347
"ОАО ""ВЕЛИКОЛУКСКИЙ МЯСОКОМБИНАТ""",42 млрд,6025009824
"ООО ""ФИЛИПС""",42 млрд,7704216778
"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",42 млрд,3808229774
"АО ""РАЗРЕЗ ТУГНУЙСКИЙ""",42 млрд,314002305
"ООО ""МАН ТРАК ЭНД БАС РУС""",42 млрд,7730117815
"ООО ""ВИТА ЛАЙН""",41 млрд,6367052981
"ПАО ""РОССЕТИ ЮГ""",41 млрд,6164266561
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ СТАВРОПОЛЬ""",41 млрд,2635048440
"АО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НИЖНИЙ НОВГОРОД""",41 млрд,5260070633
"АО ""ГАЗПРОМ ЭНЕРГОСБЫТ ТЮМЕНЬ""",41 млрд,8602067215
"АО ""ОЭК""",41 млрд,7720522853
"ОАО ""СЕВЕРСТАЛЬ-МЕТИЗ""",41 млрд,3528090760
"ООО ""БСС""",41 млрд,7810687137
"ООО ""ОРИМИ ТРЭЙД""",41 млрд,7804069580
"ПАО ""ПЕРМЭНЕРГОСБЫТ""",41 млрд,5904123809
"ООО ""ЛУКОЙЛ-РЕЗЕРВНЕФТЕПРОДУКТ""",41 млрд,7709825967
"ООО ""ВИРЛПУЛ РУС""",41 млрд,7717654289
